resource,consumer
STRDRO,ASTFOR
LITLIT,ASTFOR
LITOBT,ASTFOR
LITSAX,ASTFOR
NUCLAP,ASTFOR
TECTES,ASTFOR
MUSSPP,ASTFOR
BARSPP,ASTFOR
STRDRO,ASTRUB
LITLIT,ASTRUB
LITOBT,ASTRUB
LITSAX,ASTRUB
NUCLAP,ASTRUB
TECTES,ASTRUB
MUSSPP,ASTRUB
BARSPP,ASTRUB
MUSSPP,HENSAN
BARSPP,HENSAN
ALGGRE,STRDRO
ALGRED,STRDRO
ALGBRO,STRDRO
MUSSPP,LITLIT
BARSPP,LITLIT
ALGGRE,LITLIT
ALGRED,LITLIT
ALGBRO,LITLIT
ALGGRE,LITOBT
ALGRED,LITOBT
ALGBRO,LITOBT
ALGGRE,LITSAX
ALGRED,LITSAX
ALGBRO,LITSAX
MUSSPP,NUCLAP
BARSPP,NUCLAP
ALGGRE,TECTES
ALGRED,TECTES
ALGBRO,TECTES
