GroupCode,GroupName,UnitCode,UnitName,SiteCode,SiteName,StartDate,Species,Abundance,Notes,IsPointCUI
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Dog,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Large shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Blue Heron,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Gull,2,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Human,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Oystercatcher,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Seal,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Other Birds,1,Crow,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Great Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Pelican,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Cormorant,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Snowy Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Small shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2014,Tern,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Small shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Other Birds,2,"eagle, loon",FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Oystercatcher,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Gull,6,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Dog,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Cormorant,1,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Pelican,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Great Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Blue Heron,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Large shorebird,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Human,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Seal,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Tern,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/29/2024,Snowy Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Oystercatcher,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Great Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Blue Heron,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Seal,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Human,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Dog,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Snowy Egret,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Other Birds,2,Osprey,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Gull,1,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Cormorant,0,None,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,6/21/2013,Tern,0,None,FALSE
