GroupCode,GroupName,UnitCode,UnitName,SiteCode,SiteName,PlotType,CommunityType,PlotName,Label,BoltLatitude,BoltLongitude,LatLong_Datum,BM_UTM_E,BM_UTM_N,BM_UTM_Datum,BM_UTM_Zone,Bolt_NAVD88_Elev,Bolt_MLLW_Elev,Notes,IsBoltCUI
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A1,A1 bolt 01,44.22467886,-68.32273589,WGS84,554148.73,4897066.11,NAD83,19,0.991281986,2.812282085,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A1,A1 bolt 02,44.22467436,-68.32273661,WGS84,554148.73,4897066.11,NAD83,19,0.938754976,2.759754896,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A1,A1 bolt 03,44.22467374,-68.32272734,WGS84,554148.73,4897066.11,NAD83,19,0.986298025,2.807297945,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A1,A1 bolt 04,44.22467817,-68.32272689,WGS84,554148.73,4897066.11,NAD83,19,1.002102971,2.823102951,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A1,A1 label,44.22467887,-68.32273645,WGS84,554148.73,4897066.11,NAD83,19,0.965703011,2.78670311,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A2,A2 bolt 01,44.22464185,-68.3227834,WGS84,554148.73,4897066.11,NAD83,19,0.565770984,2.386770964,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A2,A2 bolt 02,44.22463754,-68.3227851,WGS84,554148.73,4897066.11,NAD83,19,0.519662023,2.340662003,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A2,A2 bolt 03,44.2246355,-68.32277624,WGS84,554148.73,4897066.11,NAD83,19,0.486175001,2.307174921,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A2,A2 bolt 04,44.2246397,-68.32277437,WGS84,554148.73,4897066.11,NAD83,19,0.562388003,2.383388042,,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia National Park,BASHAR,Bass Harbor,Photoplot,Ascophyllum,A2,A2 label,44.22464279,-68.3227843,WGS84,554148.73,4897066.11,NAD83,19,0.586238027,2.407238007,,FALSE
