UnitCode,UnitName,GroupCode,GroupName,SiteCode,SiteName,StartDate,BM_Latitude,BM_Longitude,LatLong_Datum,QAQC,Conditions_Swell,Conditions_Wind,Conditions_Rain,Conditions_RecentRain,Substrate_Sediment,Substrate_Scour,Substrate_RockMvmnt,Debris_PlantWrack,Debris_Driftwood,Debris_Shells,Debris_DeadAnimals,Debris_Trash,Debris_OilTar,Notes_Conditions,Notes_Marker,Notes_Other,Notes_Additional_Spp,IsPointCUI
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/24/2013,44.2248116,-68.3220461,WGS84,TRUE,Absent,Low,Absent,Low,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,Absent,None,None,Plot R4 accidentally skipped for photos.,,FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/21/2014,44.2248116,-68.3220461,WGS84,FALSE,Low,Medium,Absent,Absent,Low,Low,Low,Absent,Absent,Absent,Low,Absent,Absent,Another day with perfect weather. Barnacle plots significantly overgrown with Fucus.,X3N bolt may be lost. Could not locate the bolt; need good triangulation numbers from other points.,"In Photo 9, the tidepool transects are reversed (numbers and letters). Tidepool X3 probably not suitable - no kelp.",,FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/29/2024,44.2248116,-68.3220461,WGS84,FALSE,Low,Medium,Absent,,Low,Low,Low,Low,Absent,Medium,Medium,Absent,Absent,This site is awesome.,,Question if T1/T3 data sheets were switched halway through - resolved,"Hermit crabs, toad crab, dorid nudi eggs, colonial tunicates (goldenstar and orange sheath tunicate). Bread crumb sponge - nice tide pool.",FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/21/2013,44.2248116,-68.3220461,WGS84,FALSE,Low,Low,Absent,Absent,Low,Low,Low,Absent,Absent,Absent,Absent,Absent,Absent,Another fine day!,Pulled extra bolt on vert transect 2,None,,FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/12/2023,44.2248116,-68.3220461,WGS84,FALSE,Low,Low,Absent,,Low,Medium,Low,Absent,Absent,Medium,High,Low,Absent,Bird scat everywhere; lots of dead cancer crab predation,,"Found golden star tunicate, rock gunnels, rough nudibranchs",,FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/11/2019,44.2248116,-68.3220461,WGS84,FALSE,Low,Medium,High,Absent,Low,Low,Low,Low,Low,Low,Low,Low,Absent,Lot's of trash in upper areas,NA,NA,,FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,5/18/2018,44.2248116,-68.3220461,WGS84,FALSE,Low,Low,Absent,Absent,Low,Low,Low,Absent,Absent,Low,Low,Absent,Absent,"Relative to other sites this year, the band of turfing green algae was smaller.","T1 - 20, missing - no hole found; replaced between 19 + 21 (FIXED)",none,none,FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/28/2016,44.2248116,-68.3220461,WGS84,FALSE,Low,Medium,Absent,Absent,Low,Absent,Low,Absent,Absent,Low,Low,Absent,Absent,,,,Horse mussels,FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/25/2017,44.2248116,-68.3220461,WGS84,FALSE,Medium,Low,Absent,Present,Low,Low,Low,Low,Low,Low,Low,Low,Absent,Tidepools do not have much water.,T3 bolt 9 replaced; T1 bolt 20 missing.,None,None,FALSE
ACAD,Acadia National Park,NETN,Northeast Temperate Network,BASHAR,Bass Harbor,6/12/2019,44.2248116,-68.3220461,WGS84,TRUE,,,,,,,,,,,,,,,,,,FALSE
