GroupCode,GroupName,UnitCode,UnitName,SiteName,SiteCode,PlotName,Elevation_MLLW_m,StartDate,Label,Distance_m,QAQC,IsPointCUI
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,3.487005949,6/19/2013,T1 bolt 01,0,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,3.184000015,6/19/2013,T1 bolt 02,1.039999962,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,,6/19/2013,T1 bolt 03,1.529999971,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.668735981,6/19/2013,T1 bolt 04,3.160000086,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.542999983,6/19/2013,T1 bolt 05,3.890000105,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.958019972,6/19/2013,T1 bolt 06,4.949999809,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.921000004,6/19/2013,T1 bolt 07,6.429999828,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.691248894,6/19/2013,T1 bolt 08,7.860000134,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.302052975,6/19/2013,T1 bolt 09,9.600000381,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.515635014,6/19/2013,T1 bolt 10,10.26000023,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.190000057,6/19/2013,T1 bolt 11,11.93999958,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,1.90576601,6/19/2013,T1 bolt 12,13.63000011,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.78509903,6/19/2013,T1 bolt 13,15.03999996,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.676000118,6/19/2013,T1 bolt 14,16.10000038,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,2.187706947,6/19/2013,T1 bolt 15,17.88999939,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,1.81319201,6/19/2013,T1 bolt 16,19.64999962,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,1.494600058,6/19/2013,T1 bolt 17,21.44000053,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,1.37103796,6/19/2013,T1 bolt 18,23.12000084,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,1.252504945,6/19/2013,T1 bolt 19,25.15999985,FALSE,FALSE
NETN,Northeast Temperate Network,ACAD,Acadia NP,Schoodic Point,SCHPOI,T1,1.08358705,6/19/2013,T1 bolt 20,27.21999931,FALSE,FALSE
