,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Sum of Count,Species,,,,,,,,,,,,,,
Row Labels,ASTFOR,ASTRUB,HENSAN,STRDRO,Total Result,,,,,,,,,,
Acadia NP,41,328,7,5247,5623,,,,,,,,,,
2013,0,7,0,68,75,,,,,,,,,,
2014,0,47,0,136,183,,,,,,,,,,
2015,2,21,1,25,49,,,,,,,,,,
2016,1,115,1,763,880,,,,,,,,,,
2017,23,38,1,1601,1663,,,,,,Row Labels,ASTFOR,ASTRUB,HENSAN,STRDRO
2018,4,26,1,958,989,,,,,,2013,0,7,0,68
2019,10,44,0,902,956,,,,,,2014,0,47,0,136
2021,1,30,3,794,828,,,,,,2015,2,21,1,25
Boston Harbor NRA,10,170,-2995,55,-2760,,,,,,2016,1,115,1,763
2008,0,0,-2997,3,-2994,,,,,,2017,23,38,1,1601
2013,8,67,0,2,77,,,,,,2018,4,26,1,958
2014,1,94,0,4,99,,,,,,2019,10,44,0,902
2015,0,0,1,0,1,,,,,,2021,1,30,3,794
2016,0,8,0,13,21,,,,,,,,,,
2017,1,1,1,0,3,,,,,,,,,,
2018,0,0,0,2,2,,,,,,,,,,
2019,0,0,0,12,12,,,,,,,,,,
2021,0,0,0,19,19,,,,,,,,,,
Maine Coast Islands NWR,0,0,0,0,0,,,,,,,,,,
2014,0,0,0,0,0,,,,,,,,,,
Total Result,51,498,-2988,5302,2863,,,,,,,,,,
